ISM_1,ISM_2,labels,filename
16901.444570154203,28812.637209421977,bass,bass_0028
-22226.4937548568,-21062.00311202174,bass,bass_0014
104864.936689692,-15599.719209037668,grand_piano,grand_piano_0058
8442.319312973455,-17476.346463190195,grand_piano,grand_piano_0070
-182.7031373791293,-23930.128959550348,electric_guitar,electric_guitar_0051
-57832.26949644303,9653.859481764912,accordion,accordion_0042
51544.41738243012,36444.379641571984,electric_guitar,electric_guitar_0050
-68214.31660421945,-7102.926112612126,grand_piano,grand_piano_0071
-24705.19245790948,-25430.867958874755,grand_piano,grand_piano_0065
68566.76166742657,-39280.62667388299,grand_piano,grand_piano_0059
1978.940614356689,15362.161059229551,bass,bass_0015
-9352.709299053387,-11407.506664396911,gramophone,gramophone_0048
-25954.74733728565,-6303.527905758442,bass,bass_0001
-22013.0028943681,-7407.574875051473,bass,bass_0029
-15065.556495783208,-12916.396381258372,bass,bass_0003
61700.12974853454,33701.195049684815,euphonium,euphonium_0059
115461.2287517716,-19964.825596485192,grand_piano,grand_piano_0073
43785.96264240592,-15330.950539943817,grand_piano,grand_piano_0067
-21279.297147367757,-14208.310294095063,electric_guitar,electric_guitar_0046
-76188.56576971192,122191.10533679936,accordion,accordion_0040
7356.707687363009,-11205.362297672085,electric_guitar,electric_guitar_0052
-31460.79674467185,-8380.624787969431,accordion,accordion_0054
-3943.76388292602,-13741.0848255967,electric_guitar,electric_guitar_0053
-59575.545962377444,9472.282665168646,accordion,accordion_0041
-3558.744655634123,7985.740501230911,electric_guitar,electric_guitar_0047
61765.182213573826,34003.26051350845,euphonium,euphonium_0058
-21747.81826083514,-6522.03368919408,euphonium,euphonium_0064
7340.0042220566,-16458.255446001942,bass,bass_0002
-66713.54595659267,-9884.66723946708,bass,bass_0016
-59647.958974823436,-967.1121716733228,bass,bass_0006
58968.97243207987,-33493.08201278812,grand_piano,grand_piano_0076
46331.11449398631,42108.514939085,euphonium,euphonium_0048
41203.312928062594,-568.7551226949687,grand_piano,grand_piano_0062
26085.308689426427,21883.12427495926,grand_piano,grand_piano_0089
-3352.4566130919347,24341.10834100344,electric_guitar,electric_guitar_0043
-84448.56562016567,135133.59888051718,accordion,accordion_0045
-21064.78689430151,-21336.06907789889,electric_guitar,electric_guitar_0057
-40726.461770036745,-4333.096316456294,accordion,accordion_0051
-28031.74440646523,-3387.218879598735,accordion,accordion_0050
-17432.37210283244,-16056.659721448306,electric_guitar,electric_guitar_0056
-12371.142031894009,-8981.152171295551,euphonium,euphonium_0061
20428.46482155173,12600.366731082939,euphonium,euphonium_0049
16107.64488823969,-20902.550660295758,grand_piano,grand_piano_0063
-21535.12291008217,-7355.033597327374,bass,bass_0013
62798.7138806146,32687.681803838237,bass,bass_0005
-51438.24266425017,1697.662034959412,bass,bass_0011
-16424.311469344764,-14803.907912548233,bass,bass_0039
-15449.074091255547,-13524.794162328899,grand_piano,grand_piano_0061
10004.880733418822,-12277.7967508297,grand_piano,grand_piano_0075
64302.925621895476,31530.601324371957,euphonium,euphonium_0063
-40691.074459584335,-3360.2740496268766,grand_piano,grand_piano_0049
-28630.26513985553,-27772.197588490282,electric_guitar,electric_guitar_0068
